conversation_index,question
11,"سؤال: هل تخضع طائرات الشرطة التونسية لأحكام مجلة الطيران المدني؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 1 من مجلة الطيران المدني
أحكام هذه المجلة هي القواعد المنظمة للطيران المدني فيما يتعلق بالطائرات والمطارات والموظفين وممارسة الأنشطة في هذا المجال.

[2] المصدر: الفصل 2 من مجلة الطيران المدني (تعريفات)
طائرة الدولة: كل طائرة تستعمل في المصالح العسكرية أو الديوانية أو الأمنية."
12,"سؤال: كيف تتم عملية الحجز التنفيذي على طائرة مدنية في تونس؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 44 من مجلة الطيران المدني
يتم حجز الطائرات تنفيذاً بمقتضى قرار قضائي اكتسب قوة الشيء المقضي به. يمكن إجراء هذا الحجز التنفيذي في نفس اليوم الذي يبلغ فيه الحكم. يوقف الطائرة في المطار الذي توجد فيه. يذكر عدل المنفعة في محضره حجز أو تحويل الحجز التحفظي إلى حجز تنفيذي ما يلي: أ) اسم ولقب وجودة ومهنة ومقر الدائن، ب) السند الذي بمقتضاه يقوم بالإجراء، ج) انتخاب المقر الذي أجراه الدائن لدى محام مؤهل للمرافعة في بيع العقارات لدى المحاكم، د) تعيين محكمة البداية التي يجب أن يباشر البيع أمامها وهذه المحكمة هي محكمة مكان وجود الطائرة، هـ) اسم ولقب وجودة ومهنة ومقر المحجوز عليه، و) نوع الطائرة وجنسيتها وتسجيلها. يصف وصفاً موجزاً الطائرة وملحقاتها الرئيسية ويعين حارساً يمكن أن يكون قائد الطائرة.

[2] المصدر: الفصل 45 من مجلة الطيران المدني
يسلم عدل المنفعة فوراً لقائد المطار نسخة من محضر الحجز التنفيذي الذي تم ويطلب توقيعه على الأصل. ابتداءً من تلك اللحظة، يجب على قائد المطار أن يعارض إقلاع الطائرة إلى أن يتم تسليم رفع الحجز التنفيذي أو قرار قضائي يأذن بالإقلاع أو يثبت أن المحتجز قام بالإجراءات المنصوص عليها في الفصل 58 من هذه المجلة.

[3] المصدر: الفصل 46 من مجلة الطيران المدني
يجب على الحاجز، في أجل خمسة عشر يوماً، أن يبلغ المحجوز عليه نسخة من محضر الحجز مع استدعاء أمام غرفة المناداة بمحكمة البداية مكان الحجز، ليُسمع الأمر بالمضي في بيع الطائرة المحجوزة. يمكن أن تبلغ هذه النسخة من محضر الحجز لقائد الطائرة أو، في حالة غيابه، للشخص الذي يمثل المدين."
13,"Question: Un exploitant d'aéronef est-il automatiquement responsable des dommages causés par sa machine aux personnes au sol, même sans faute de sa part ?

Documents pertinents:
[1] Source: article 83 du Code de l'aéronautique civile (texte original français)
L'exploitant d'un aéronef est responsable de plein droit des dommages causés par les évolutions de l'aéronef ou les objets qui s'en détacheraient, aux personnes et aux biens situés à la surface. Cette responsabilité ne peut être atténuée ou écartée que par la preuve de la faute de la victime.

[2] Source: article 2 du Code de l'aéronautique civile - définitions (texte original français)
Exploitant d'aéronef : Toute personne physique ou morale qui se livre ou propose de se livrer à l'exploitation d'un ordre plusieurs aéronefs."
14,"Question: Quelle est la durée du délai pour intenter une action en responsabilité contre un transporteur aérien tunisien, et cette action est-elle soumise à une convention internationale ?

Documents pertinents:
[1] Source: article 118 du Code de l'aéronautique civile (texte original français)
Les obligations et la responsabilité du transporteur de personnes, de bagages et de marchandises sont régies par les dispositions de la Convention pour l'unification de certaines règles relatives au transport aérien international signée à Varsovie le 12 octobre 1929 et toute convention la modifiant ou la remplaçant, ratifiée par la Tunisie, même si le transport n'est pas international au sens de cette Convention. Toutefois, le transporteur peut fixer une limite de responsabilité plus élevée que celle prévue par cette Convention, ou toute Convention la modifiant ou la remplaçant et ratifiée par la Tunisie, même si le transport n'est pas international au sens de cette Convention.

[2] Source: article 119 du Code de l'aéronautique civile (texte original français)
L'action en responsabilité contre le transporteur doit être intentée, sous peine de déchéance, dans un délai de deux ans à compter du jour où l'aéronef est arrivé ou aurait dû arriver à destination."
15,"Question: Un pilote peut-il exercer les fonctions de membre d'équipage d'un aéronef sans licence ?

Documents pertinents:
[1] Source: article 122 du Code de l'aéronautique civile
Nul ne peut exercer les fonctions de membre d'équipage d'un aéronef s'il n'est titulaire d'une licence et des qualifications en cours de validité correspondantes aux fonctions qu'il doit accomplir. Les conditions de délivrance et de retrait des licences et des qualifications sont fixées par arrêté du Ministre chargé de l'Aviation Civile."
16,"سؤال: ما هي العقوبات التأديبية التي يمكن توقيعها على أفراد الطاقم الجوي في تونس؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 127 من مجلة الطيران المدني
كل عضو من أفراد الطيران المدني المشار إليهم في الفصلين 122 و124 من هذه المجلة، يرتكب خطأً تقنياً أو يخالف الأحكام التشريعية الجاري بها العمل المتعلقة بنشاطه المهني، يعاقب بإحدى العقوبات التالية: أ) عقوبات الدرجة الأولى: الإنذار أو التوبيخ أو السحب المؤقت مع أو بدون إيقاف تنفيذ رخصة أو عدة رخص أو مؤهلات. ب) عقوبات الدرجة الثانية: السحب النهائي لرخصة أو عدة رخص أو مؤهلات. ج) عقوبات الدرجة الثالثة: الشطب النهائي من سجل أفراد الطيران المدني."
17,"Question: Je viens d'acheter un aéronef d'occasion immatriculé en Tunisie. Quelles sont les formalités liées au transfert de propriété et qu'est-ce que le certificat d'immatriculation me donne comme droit?

Documents pertinents:
[1] Source: article 10 du Code de l'aéronautique civile
Les aéronefs constituent des biens meubles. Toute mutation de propriété par décès et tout jugement translatif, constitutif ou déclaratif de propriété doivent être inscrits sur le registre d'immatriculation des aéronefs civils. Toutefois, la cession de propriété doit être constatée par écrit et ne produit d'effet à l'égard des tiers que par son inscription au registre d'immatriculation des aéronefs civils.

[2] Source: article 11 du Code de l'aéronautique civile
Un certificat d'immatriculation est délivré au propriétaire d'un aéronef immatriculé au registre d'immatriculation des aéronefs civils. Le modèle et les indications que doit porter ce certificat sont fixés par arrêté du Ministre chargé de l'Aviation Civile."
18,"سؤال: ماذا يجب على قائد الطائرة فعله فور وقوع حادث طيران في تونس؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 134 من مجلة الطيران المدني
يجب التصريح فوراً من قبل قائد الطائرة لمصلحة الملاحة الجوية الأقرب بكل حادث أو واقعة تمس أو يمكن أن تمس السلامة الجوية، حدث على الأرض أو في الفضاء الجوي التونسي. إذا كان قائد الطائرة غير قادر على التصريح بالحادث لمصلحة الملاحة الجوية، فإن هذا التصريح يقع على عاتق أي من أفراد الطاقم أو، عند الاقتضاء، إما على عاتق مشغل الطائرة أو السلطة المحلية المدنية أو العسكرية القريبة. في هذه الحالة، يتم التصريح لمكتب التحقيق في حوادث ووقائع الطائرات التابع للوزارة المكلفة بالطيران المدني. يجب إعلام مكتب التحقيق المذكور أعلاه بكل حادث أو واقعة وقعت خارج الفضاء الجوي التونسي لطائرة مسجلة في تونس أو مستعملة من قبل مشغل حاصل على رخصة استغلال جوي مسلمة من وزارة النقل.

[2] المصدر: الفصل 131 من مجلة الطيران المدني
تستفيد الطائرات المعرضة للخطر من مساعدة البحث والإنقاذ. تُحدد خطط التدخل والوسائل اللازمة لتنفيذها بمقتضى أمر."
19,"Question: Puis-je importer un avion militaire américain en Tunisie pour un usage privé ?

Documents pertinents:
[1] Source: article 2 du Code de l'aéronautique civile
Aéronef d'Etat : Tout aéronef utilisé dans des services militaires, des douanes ou de sûreté.

[2] Source: article 4 du Code de l'aéronautique civile
Un aéronef civil ne peut être immatriculé en Tunisie qu'il appartient pour 51% au moins à une personne ou des personnes physiques ou morales tunisiennes. Le Ministre chargé de l'Aviation Civile peut autoriser, à titre exceptionnel, l'immatriculation des aéronefs ne remplissant pas cette condition."
20,"Question: Je suis une collectivité locale. Puis-je créer un aérodrome ouvert à la circulation aérienne publique sur mon territoire, et peut-il être fermé temporairement?

Documents pertinents:
[1] Source: article 90 du Code de l'aéronautique civile
La création de tout aérodrome civique destiné à la circulation aérienne publique est soumise à une autorisation délivrée par le Ministre chargé de l'Aviation Civile après avis du Conseil National de l'Aéronautique Civile. Les conditions de mise en service et d'utilisation de l'aérodrome sont fixées par arrêté du Ministre chargé de l'Aviation Civile.

[2] Source: article 92 du Code de l'aéronautique civile
L'ouverture et la fermeture de tout aérodrome à la circulation aérienne publique sont prononcées, après enquête technique, par arrêté du Ministre chargé de l'Aviation Civile. Toutefois, lorsque des raisons de sécurité aérienne ou d'ordre public l'exigent, tout aérodrome peut être interdit temporairement à la circulation aérienne publique. Cette interdiction fait l'objet d'un avis aux usagers de l'air."
21,"Question: Puis-je immatriculer en Tunisie un aéronef qui est déjà immatriculé à l'étranger?

Documents pertinents:
[1] Source: article 5 du Code de l'aéronautique civile
Aucun aéronef immatriculé à l'étranger ne peut être immatriculé en Tunisie avant la radiation de son immatriculation du registre étranger."
22,"Question: Je souhaite vérifier qui est le propriétaire d'un aéronef avant de l'acheter. Le registre d'immatriculation est-il accessible au public?

Documents pertinents:
[1] Source: article 9 du Code de l'aéronautique civile
L'inscription au registre d'immatriculation des aéronefs civils vaut titre. Ce registre est public et toute personne peut en obtenir copie conforme.

[2] Source: article 10 du Code de l'aéronautique civile
Les aéronefs constituent des biens meubles. Toute mutation de propriété par décès et tout jugement translatif, constitutif ou déclaratif de propriété doivent être inscrits sur le registre d'immatriculation des aéronefs civils. Toutefois, la cession de propriété doit être constatée par écrit et ne produit d'effet à l'égard des tiers que par son inscription au registre d'immatriculation des aéronefs civils."
23,"Question: Une infraction commise à bord d'un aéronef tunisien en vol international est-elle jugée par les tribunaux tunisiens?

Documents pertinents:
[1] Source: article 13 du Code de l'aéronautique civile
Les rapports juridiques entre les personnes qui se trouvent à bord d'un aéronef en circulation sont régis par la loi de l'Etat d'immatriculation de cet aéronef trois les fois que la loi dudit Etat est applicable.

[2] Source: article 14 (Modifié par la loi de 2005-84 du 15 août 2005) du Code de l'aéronautique civile
Les tribunaux tunisiens sont compétents pour statuer sur les infractions dirigées contre l'aviation civile conformément aux règles spécifiques prévues au code de procédure pénale."
24,"Question: Mon aéronef est radié d'office du registre tunisien car je n'ai plus de nouvelles depuis 6 mois. Comment puis-je contester cette radiation?

Documents pertinents:
[1] Source: article 15 du Code de l'aéronautique civile
L'immatriculation de l'aéronef au registre d'immatriculation des aéronefs civils est rayée d'office dans les cas suivants : a) L'aéronef est réformé, b) Lorsqu'on en est sans nouvelle depuis six mois à compter du jour de son départ ou du jour auquel se rapportent les dernières nouvelles reçues, c) Lorsqu'il ne remplit plus les conditions d'immatriculation prévues à l'article 4 du présent code. Les modalités de la radiation d'office sont fixées par décret.

[2] Source: article 17 du Code de l'aéronautique civile
Toute radiation d'office est notifiée par les services compétents du Ministère chargé de l'Aviation Civile au propriétaire de l'aéronef et à tout titulaire de droit inscrit sur le registre d'immatriculation des aéronefs civils. Un certificat de radiation est délivré à toute personne qui en fait la demande."
25,"Question: Plusieurs créanciers ont des privilèges sur un même aéronef. Comment est déterminé l'ordre de paiement lors de la vente?

Documents pertinents:
[1] Source: article 20 du Code de l'aéronautique civile
Les créances visées à l'article 18 du présent code sont privilégiées dans l'ordre où elles sont rangées audit article. Les créances de même rang viennent en concurrence au marc le franc en cas d'insuffisance du prix. Les créances visées aux paragraphes (b) et (c) du même article sont remboursées dans l'ordre inverse des dates des événements qui leur ont donné naissance.

[2] Source: article 21 du Code de l'aéronautique civile
Les privilèges autres que ceux prévus à l'article 18 du présent code prennent rang après les hypothèques dont la date d'inscription au registre d'immatriculation des aéronefs civils est antérieure à celle de la naissance de ces privilèges. En cas de vente en Tunisie d'un aéronef grevé de droits dans un Etat partie à la convention signée à Genève le 19 juin 1948, relative à la reconnaissance internationale des droits sur aéronefs, les droits prévus à l'article premier de ladite convention ne peuvent s'exercer que sous réserve des droits reconnus aux victimes de dommages causés à la surface par cet aéronef."
26,"Question: Je suis un créancier hypothécaire sur un aéronef. L'aéronef est perdu dans un accident. Puis-je obtenir l'indemnité d'assurance? Et quel est mon rang pour les intérêts?

Documents pertinents:
[1] Source: article 28 du Code de l'aéronautique civile
En cas de perte ou d'avarie de l'aéronef, le créancier hypothécaire est, pour le montant de sa créance, subrogé au propriétaire dans le droit à l'indemnité d'assurance. L'assureur doit requérir un état des inscriptions des hypothèques avant le paiement de toute indemnité. Aucun paiement d'indemnité n'est libératoire s'il est fait au mépris des droits des créanciers hypothécaires.

[2] Source: article 32 du Code de l'aéronautique civile
L'inscription hypothécaire garantit, au même rang que le capital, trois années d'intérêts en plus de l'année courante. Le taux d'intérêt ne peut excéder le taux légal sauf s'il est indiqué dans l'acte et l'expiration.

[3] Source: article 33 du Code de l'aéronautique civile
Le rang des hypothèques sur le même aéronef est déterminé par l'ordre des dates de leur inscription. Les hypothèques inscrites le même jour viennent en concurrence, nonobstant la différence des heures de l'inscription."
27,"سؤال: هل يشمل الرهن الرسمي على طائرة قطع الغيار الخاصة بها؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 24 من مجلة الطيران المدني
يمكن أن يمتد الرهن إلى قطع الغيار الموافقة لنوع الطائرة المرهونة بشرط أن تكون القطع المذكورة مفرددة ومحفوظة في مكان أو أماكن محددة، وأن يتم عن طريق الإعلان على المكان إعلام الغير بطبيعة الحق ومداه بصفة قانونية، ويذكر السجل الذي قيد فيه الرهن واسم صاحبه وعنوانه. يُلحق بعقد الرهن جدول جرد يبين طبيعة وعدد القطع. يُقصد بتعبير 'قطع الغيار' الأجزاء المكونة للطائرات والمحركات والمراوح والتجهيزات والآلات والعدة والتجهيزات الداخلية وأجزاء هذه العناصر المختلفة وبصفة أعم جميع العناصر الأخرى مهما كانت طبيعتها المحفوظة بغرض استبدال الأجزاء المكونة للطائرة. يجب أن تستبدل قطع الغيار المستعملة فوراً بقطع مماثلة دون مساس بحقوق الدائن."
28,"سؤال: كيف يتم إنشاء رهن رسمي على طائرة، وهل يمكن رهن طائرة قيد الإنشاء؟ وماذا يحدث للرهن إذا انتقلت ملكية الطائرة؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 25 من مجلة الطيران المدني
يتم الرهن، تحت طائلة البطلان، كتابةً. يجب أن يذكر العقد التأسيسي كل عنصر يشمله الرهن. يمكن أن يكون الرهن لأمر، وفي هذه الحالة، ينقل التظهير حقوق الدائن المرتهن.

[2] المصدر: الفصل 26 من مجلة الطيران المدني
لا يمكن رهن طائرة قيد الإنشاء إلا إذا سبق أن كانت محل تصريح يتضمن خصائصها الرئيسية لدى المصالح المكلفة بمسك سجل تسجيل الطائرات المدنية. يسلم للمعني إيصال بذلك.

[3] المصدر: الفصل 27 من مجلة الطيران المدني
يتبع الدائنون الذين تم قيد رهونهم الطائرة أينما انتقلت ليُحتلوا ويُدفع لهم حسب ترتيب قيودهم وبعد الدائنين الممتازين."
29,"سؤال: متى يصبح الرهن الرسمي على طائرة نافذاً ضد الغير؟ وما هي الفائدة التي يحميها؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 29 من مجلة الطيران المدني
يجب قيد رهن الطائرات في سجل تسجيل الطائرات المدنية. ولا يكون نافذاً في مواجهة الغير إلا من تاريخ قيده. يمكن لكل شخص الحصول على نسخة طبق الأصل من قيد الرهن.

[2] المصدر: الفصل 32 من مجلة الطيران المدني
يضمن القيد الرهني، بنفس مرتبة رأس المال، ثلاث سنوات من الفوائد بالإضافة إلى السنة الجارية. لا يمكن أن يتجاوز سعر الفائدة السعر القانوني إلا إذا كان مبيناً في العقد واتفاق صريح."
30,"سؤال: كيف يمكنني الحصول على إذن قضائي للحجز التحفظي على طائرة مدنية؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 38 من مجلة الطيران المدني
يمكن لكل دائن غير متحصل على سند تنفيذي أو سند مسجل أو غير محل دينه للوفاء، إذا كان تحصيله في خطر، أن يطلب قيد معارضة تحفظية على طائرات مدينته بعد الحصول على إذن من رئيس محكمة تونس الابتدائية. يجب، تحت طائلة البطلان، تسجيل المعارضة التحفظية في أجل تسعين يوماً من تاريخ الإذن. في صورة رفض المصالح المختصة التسجيل، يجب عليها أن تبين على هامش الإذن تاريخ تسلمه وسبب الرفض. تتوقف آثار قيد المعارضة التحفظية، في كل الأحوال، قانوناً بانقضاء سنتين من تاريخ إجرائه. لا يمكن أن تكون المعارضة التحفظية على الطائرات المعفاة من الحجز التحفظي (الطائرات المعفاة مبينة بالفصل 37)."
31,"سؤال: أود أن أمنع الحجز التحفظي على طائرتي. هل يمكنني تقديم كفالة؟ وإذا قام الحاجز بحجز غير قانوني، هل يمكنني مقاضاته؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 40 من مجلة الطيران المدني
في صورة عدم منع الحجز أو عندما لا يحتج المشغل بعدم قابلية الطائرة للحجز، فإن تقديم كفالة كافية يمنع المعارضة التحفظية وكذلك الحجز التحفظي ويؤدي إلى رفعه. تكون الكفالة كافية إذا كانت تغطي مبلغ الدين والمصاريف وكانت مختصة حصرياً للوفاء للدائن، أو إذا كانت تغطي قيمة الطائرة إذا كانت أقل من مبلغ الدين والمصاريف.

[2] المصدر: الفصل 42 من مجلة الطيران المدني
في صورة قيام الحاجز، خلافاً لأحكام الفصل 37 من هذه المجلة، بحجز تحفظي على طائرة غير قابلة للحجز، أو إذا اضطر المدين إلى تقديم كفالة لمنع الحجز أو رفعه، فإن الحاجز يكون مسؤولاً عن الضرر الناتج للمشغل أو المالك."
32,"سؤال: أنا حاجز تنفيذي على طائرة مسجلة في تونس. ما هي الإجراءات التي يجب أن أقوم بها بعد الحجز لضمان حقوقي وبيع الطائرة؟

الوثائق ذات الصلة:
[1] المصدر: الفصل 47 من مجلة الطيران المدني
إذا كانت الطائرة مسجلة في تونس، تبلغ نسخ من محضر الحجز والاستدعاء المنصوص عليه في الفصل 46 إلى: 1) مصلحة تسجيل الطائرات المدنية لقيد الحجز في السجل، 2) الدائنين المقيدين أو ذوي دعوى فسخ أو الذين قاموا بإشعار مسبق بطلب للمساهمة الاختيارية في الإجراء. توضع أصول هذه الإشعارات وحالة القيود المرهونة للطائرة في الملف المسلم للمحكمة. يمكن إبطال أي بيع يتم خلافاً لهذه الأحكام بناءً على طلب يقدم في الستة أشهر التالية لتاريخ البيع من أي شخص لحقه ضرر.

[2] المصدر: الفصل 48 من مجلة الطيران المدني
يمنع على المدين التصرف في الطائرة أو رهنها ابتداءً من تاريخ قيد حجز التنفيذ في السجل.

[3] المصدر: الفصل 49 من مجلة الطيران المدني
تأمر المحكمة بالبيع بعد أن تحدد شروطه وتحيله إلى الجلسة التي سيجري فيها. يحدد الثمن الأساسي من الحاجز ويعتبر بمثابة رسو المزاد لفائدته بقيمته إذا لم تتم مناقصة أثناء البيع. لا يقبل الحكم أي طريق طعن ولا حتى الطعن بالنقض. مع ذلك، يجوز للمدين المحجوز عليه خلال ثلاثين يوماً من تاريخ الحجز إجراء بيع ودي وفق شروط معينة."
33,"Question: Quelles sont les mentions obligatoires des annonces et affiches pour la vente aux enchères d'un aéronef saisi?

Documents pertinents:
[1] Source: article 52 du Code de l'aéronautique civile
La vente sur saisie se fait à l'audience des criées du tribunal, trente jours au minimum après l'apposition des affiches et l'insertion du texte de ces affiches au Journal Officiel de la République Tunisienne et dans l'un des journaux quotidiens publiés en Tunisie, sans préjudice de toutes autres publicités qui seraient autorisées par le tribunal à la demande de l'une des parties en cause et à des frais avancés.

[2] Source: article 53 du Code de l'aéronautique civile
Les annonces et affiches doivent indiquer : a) le nom, prénom, profession et domicile du poursuivant, b) le titre en vertu duquel il agit ; c) l'élection de domicile par lui déjà faite ; d) le nom, prénom, profession et domicile du débiteur ainsi que le nom, prénom, profession et domicile du propriétaire de l'aéronef saisi ; e) le type de l'aéronef ; f) le lieu où se trouve l'aéronef ; g) la mise à prix et les conditions de la vente ; h) la date, le lieu et l'heure de l'adjudication."
